id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44077,cosy comfortable Irish cottage twin,193005,Teresa,,Dn Laoghaire-Rathdown,53.29178,-6.25792,Private room,80,3,341,2024-06-12,2.11,2,117,47,
85156,Cosy Comfortable Irish Cottage  1 Double Bed,193005,Teresa,,Dn Laoghaire-Rathdown,53.29209,-6.25624,Private room,79,3,303,2024-06-11,1.90,2,51,52,
159889,Friendly Single Room,766611,Marie,,Dublin City,53.39027,-6.23547,Private room,55,2,433,2024-06-12,2.90,3,303,43,
162809,5.5 miles south of Dublin City :^),777681,Robbie,,Dn Laoghaire-Rathdown,53.28326,-6.19188,Private room,,2,388,2024-05-31,3.52,2,1,41,
165828,Pádraig Pearse apt. Kilmainham,790601,Timothy,,Dublin City,53.33744,-6.32363,Entire home/apt,221,3,76,2023-12-28,0.49,4,251,1,
165829,"The ""Michael Collins"" apartment",790601,Timothy,,Dublin City,53.33744,-6.32363,Entire home/apt,221,3,82,2024-04-24,0.54,4,246,3,
237465,Cozy 1 bed apt 10 mins to airport. total privacy,1245198,Amanda,,Dublin City,53.39558,-6.17524,Entire home/apt,65,1,521,2024-06-15,3.43,2,101,72,
245903,Single cosy bedroom in Lucan.,1289720,Sheila,,South Dublin,53.34596,-6.41719,Private room,30,30,46,2024-03-11,0.32,1,37,4,
292757,Old World Converted Stables with Swimming Pool.,1515549,Sarah,,Dublin City,53.36949,-6.34889,Entire home/apt,125,2,448,2024-06-14,3.12,1,114,47,
302554,Peaceful retreat for 5 - excellent location,1557844,Liam And Fiona,,Dublin City,53.35681,-6.29094,Entire home/apt,197,2,75,2024-06-03,0.50,8,187,9,
302634,Studio sleeps 2 city ctr 10 mins - Molly Malone,1557844,Liam And Fiona,,Dublin City,53.35681,-6.29094,Entire home/apt,86,2,148,2024-06-03,0.99,8,197,30,
333950,Best location in Dublin City Centre,1607393,Daragh,,Dublin City,53.341997210593505,-6.27368487417698,Private room,,2,282,2024-06-12,1.90,3,0,35,
374792,"'Grace Gifford' cottage, Kilmainham",790601,Timothy,,Dublin City,53.33744,-6.32363,Entire home/apt,199,3,36,2024-05-03,0.25,4,241,1,
419987,Stunning Victorian apartment slps 6 - James Joyce,1557844,Liam And Fiona,,Dublin City,53.35682,-6.29132,Entire home/apt,220,2,170,2024-05-29,1.20,8,220,13,
424596,Very Special Oval Georgian Studio,2110301,Karin,,Dublin City,53.355545,-6.258094,Entire home/apt,158,2,622,2024-05-24,4.26,4,86,52,
426326,Large room with double & single Bed,766611,Marie,,Dublin City,53.39027,-6.23547,Private room,140,2,265,2024-05-20,1.82,3,29,5,
427077,Unique Oval Georgian Studio Gr. Fl.,2110301,Karin,,Dublin City,53.35572,-6.25803,Entire home/apt,157,2,581,2024-05-24,3.93,4,107,36,
427495,Lovely attic room with double bed,766611,Marie,,Dublin City,53.39027,-6.23547,Private room,115,3,186,2024-03-19,1.30,3,311,3,
451611,Best location with balcony,1607393,Daragh,,Dublin City,53.3404,-6.27256,Entire home/apt,181,2,597,2024-06-15,4.07,3,27,9,
468082,"A little bit of country in the city, Fairy House",2115318,Siobhan,,South Dublin,53.35336,-6.44968,Private room,135,1,371,2024-06-02,2.58,3,309,28,
522667,"Interesting, Spacious Georgian Flat",2110301,Karin,,Dublin City,53.355545,-6.258094,Entire home/apt,155,2,515,2024-06-03,3.53,4,109,43,
526767,Designer Apt in the heart of Dublin,2340296,Dardo,,Dublin City,53.34752,-6.26393,Entire home/apt,195,2,658,2024-06-02,4.59,1,178,47,
587218,sunny double room in victorian home,2895736,James And Tom,,Dublin City,53.36405,-6.27351,Private room,90,2,275,2024-06-16,1.92,1,142,35,
592840,"Fairy House ,A little bit of country in the city",2115318,Siobhan,,South Dublin,53.35338,-6.44994,Private room,65,1,96,2024-06-11,0.67,3,327,35,
631270,Ringsend near city centre cosy room double bed,3125619,Freda,,Dublin City,53.34095,-6.23277,Private room,112,2,55,2024-05-26,0.57,2,20,7,
654589,City Centre Apartment | TEMPLE BAR | DUBLIN CASTLE,3244025,Garrett,,Dublin City,53.34493,-6.26688,Entire home/apt,364,1,633,2024-05-28,4.41,2,230,49,
690119,Extensively Modernised Georgian House near Everything,3525420,Sarah,,Dn Laoghaire-Rathdown,53.29448,-6.24686,Entire home/apt,365,4,234,2024-05-06,1.75,2,272,14,
701759,Beautiful room in design awarded house beside Luas,3525420,Sarah,,Dn Laoghaire-Rathdown,53.29296,-6.24546,Private room,109,2,31,2024-05-26,0.22,2,28,2,
715205,Gracepark Guesthouse 1,3683952,Roy,,Dublin City,53.368837598173094,-6.249314785003654,Private room,100,1,107,2024-06-02,0.75,3,160,12,
726011,Sunset Crag - Beautiful Apartment,3755932,Valerie,,Fingal,53.58175,-6.1226,Entire home/apt,133,3,213,2024-05-02,1.63,1,235,24,
726075,Chestnut view- 4* Rating Close to airport and city,3756388,Mary,,Dublin City,53.36973,-6.25788,Entire home/apt,150,21,3,2017-09-02,0.03,1,48,0,
736751,Gracepark Guesthouse 2,3683952,Roy,,Dublin City,53.36786925614428,-6.250431447766409,Private room,123,1,88,2024-06-03,0.62,3,106,14,
736773,Gracepark Guesthouse 3,3683952,Roy,,Dublin City,53.37029,-6.25113,Private room,123,1,69,2024-06-02,0.50,3,161,6,
747284,Luxury 2 BED Apartment near  City Centre,1626936,James P  ( J.P),,Dn Laoghaire-Rathdown,53.29505,-6.23371,Entire home/apt,,15,39,2022-09-16,0.28,1,7,0,
869956,Bright double room in independent house near UCD,4584609,Silvia,,Dn Laoghaire-Rathdown,53.30456,-6.20356,Private room,,28,11,2024-03-01,0.08,3,19,1,
871174,Three single beds,4592908,Louise,,Dublin City,53.3678,-6.20609,Private room,59,1,331,2024-06-15,2.41,3,94,57,
872539,Contemporary Victorian cottage,4603565,Aida,,Dublin City,53.35789,-6.23813,Entire home/apt,290,3,154,2024-05-26,1.12,1,225,17,
922425,Perfect Location City Centre House,1607393,Daragh,,Dublin City,53.34202,-6.27351,Entire home/apt,309,4,136,2024-03-18,1.00,3,10,4,
998407,self contained cozy tot private near city & airpor,1245198,Amanda,,Dublin City,53.39622,-6.1756,Entire home/apt,53,1,319,2024-06-09,2.73,2,42,35,
999963,"City living with garden, park, canal, luas",5497230,Sarah And Johnny,,Dublin City,53.36193,-6.27423,Entire home/apt,450,7,11,2023-08-08,0.09,1,0,1,
1073487,Open Plan /UCD Adjacent share with small family,5905039,Jane,,Dn Laoghaire-Rathdown,53.30443,-6.24083,Private room,90,3,97,2024-05-25,0.72,1,341,11,
1086416,"Cosy, self-contained, 1-bed space.",5971713,Eileen,,Dublin City,53.35846,-6.27528,Entire home/apt,,2,271,2024-06-11,2.01,1,2,13,
1173029,Great house in vibrant Stoneybatter,3448346,Ian,,Dublin City,53.35107,-6.27992,Entire home/apt,368,3,437,2024-06-10,3.98,1,227,64,
1207950,Large 5 Star Prime South Dublin House,6593571,Dave & Ann,,Dn Laoghaire-Rathdown,53.28341,-6.24498,Entire home/apt,390,5,92,2024-06-08,0.69,1,49,12,
1255270,No1 friendly family home,6837751,Siobhan,,South Dublin,53.33883,-6.433,Private room,50,30,19,2024-03-30,0.14,2,64,6,
1270261,Old Country house,474328,James,,Fingal,53.5668,-6.31556,Private room,50,1,13,2023-08-13,0.11,1,317,2,
1276002,Dublin City Home; also close to Croke Park (2km),6938108,Caroline,,Dublin City,53.35176,-6.23248,Entire home/apt,700,3,78,2024-03-18,0.61,1,339,4,
1364560,"Cosy double in Eclectic Arty home, near Guinness",6977448,Stephen,,Dublin City,53.33677,-6.28899,Private room,,3,159,2024-06-10,1.20,2,0,14,
1407832,Near the sea Dublin family house,5818278,Therese,,Dn Laoghaire-Rathdown,53.29832,-6.17191,Entire home/apt,300,6,65,2023-08-12,0.49,1,7,3,
1466234,Single room,5940448,Elva,,Dublin City,53.32894,-6.30413,Private room,43,4,200,2024-06-13,1.52,1,199,36,
1478255,Country Cottage in the city,7910820,Michael,,Dublin City,53.343592510553115,-6.221619842327872,Entire home/apt,264,3,11,2024-06-15,3.59,1,127,11,
1510400,Spacious and Contemporary House,8066896,Ken,,Dublin City,53.32956,-6.32588,Entire home/apt,,100,8,2023-06-23,0.06,1,90,1,
1559929,Stephen's Green 1838 Villa - single,3745350,Natasha,,Dublin City,53.33514,-6.26772,Private room,85,2,66,2023-05-08,0.51,2,0,0,
1600779,Stephen's Green 1838 Villa - double,3745350,Natasha,,Dublin City,53.33511,-6.26875,Private room,110,2,76,2024-05-26,0.60,2,43,1,
1711261,Kilmainham Lane Terrace,1390012,Andy,,Dublin City,53.34432,-6.29733,Entire home/apt,,7,15,2024-05-20,0.18,1,0,2,
1729959,Kim's House,9115187,Kim,,Dn Laoghaire-Rathdown,53.3065,-6.24719,Entire home/apt,,5,7,2023-07-07,0.06,2,2,2,
1804494,Entire 2bed townhouse close to City,6650296,Fiona,,Dublin City,53.36373,-6.20788,Entire home/apt,163,4,138,2024-06-10,1.09,1,8,12,
1906221,"Great double room,Dublin",9084049,Jose&Vadym,,Dublin City,53.33688,-6.29419,Private room,115,2,588,2024-06-11,4.58,2,226,49,
1943366,Exquisitely restored Victorian Flat - WB Yeats,1557844,Liam And Fiona,,Dublin City,53.35691,-6.29164,Entire home/apt,220,2,156,2024-06-07,1.27,8,227,6,
1963074,Private room with own entrance,10124896,Robyn,,Dublin City,53.39105,-6.27775,Private room,134,1,719,2024-06-16,5.98,1,226,56,
2026810,1 single cosy room in Ranelagh,6782586,Mary,,Dublin City,53.32338,-6.25333,Private room,58,3,358,2024-06-02,2.87,2,249,35,
2164444,Historic Oasis - Heart Of Dublin,11013512,Benjamin,,Dublin City,53.32889,-6.25116,Private room,109,2,531,2024-06-02,4.22,2,46,30,
2241137,A home away from home,4009786,Denise,,Dn Laoghaire-Rathdown,53.27925,-6.13324,Private room,75,2,6,2024-05-20,0.73,4,360,6,
2283713,Camden St: Central 'n' Cosy,3888023,Daragh,,Dublin City,53.33408,-6.26463,Private room,88,2,345,2024-06-04,2.78,1,33,11,
2394893,Warm family home & garden in D9,12173057,Maeve & Ken,,Dublin City,53.39058,-6.24692,Private room,106,2,248,2024-06-11,2.02,3,151,5,
2415104,House in the heart of Dublin,5580678,Lex,,Dublin City,53.33364,-6.26584,Entire home/apt,703,5,272,2024-06-11,2.18,4,336,7,
2427857,Large family home and garden D9:,12173057,Maeve & Ken,,Dublin City,53.38949,-6.24701,Private room,109,2,250,2024-03-17,2.00,3,167,1,
2450893,Centrally located Dublin South Home,12527734,Susan,,Dn Laoghaire-Rathdown,53.29865,-6.2436,Entire home/apt,496,5,3,2023-08-04,0.26,1,78,3,
