id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1447994,Rental unit in Dublin · ★5.0 · 1 bedroom · 1 bed · 1 bath,2401732,Maximilian,,Dublin City,53.33993,-6.23329,Private room,,3,3,2015-02-14,0.03,1,0,0,
5455984,Place to stay in Ballsbridge · 1 bedroom · 1 bed · 1 bath,14182153,Aidan,,Dublin City,53.33294,-6.23317,Private room,,1,0,,,1,0,0,
8967884,Rental unit in Dundrum · ★4.67 · 1 bedroom · 1 bed · 1 private bath,26761519,Gabriela,,Dn Laoghaire-Rathdown,53.28871,-6.24673,Private room,,1,3,2016-08-16,0.03,1,0,0,
10131392,Rental unit in Dublin · 1 bedroom · 1 bed · 1 bath,49337177,Patrick,,Dublin City,53.343,-6.2772,Private room,,1,0,,,1,0,0,
11496169,Rental unit in Dublin · 1 bedroom · 1 bed · 1 shared bath,41884859,Nathalia,,Dublin City,53.34859,-6.26939,Private room,,2,0,,,1,0,0,
14084572,Rental unit in Dublin · 2 bedrooms · 2 beds · 2 baths,84684668,Kieran,,Fingal,53.37395,-6.40402,Entire home/apt,,3,0,,,1,0,0,
15659287,Home in Crumlin · 1 bedroom · 1 bed · 2 baths,101087087,Aisling,,Dublin City,53.32335,-6.30992,Private room,200,1,0,,,1,0,0,
16255930,Rental unit in Dublin · ★4.40 · 1 bedroom · 1 bed · 1 shared bath,21399134,Stefano,,Dublin City,53.34949,-6.26913,Private room,,2,10,2018-01-02,0.12,1,0,0,
17508695,Rental unit in Dublin · 1 bedroom · 1 bed · 1 private bath,32496075,Nicolas,,Dublin City,53.34962,-6.23013,Private room,,2,2,2017-08-13,0.03,1,0,0,
19586316,Home in Dublin · 1 bedroom · 1 bed · 1 shared bath,137668471,Ryan,,Dn Laoghaire-Rathdown,53.27875,-6.1531,Private room,,1,0,,,1,0,0,
20089439,Home in North Strand · 1 bedroom · 1 bed · 1 bath,42931313,Mark,,Dublin City,53.35762,-6.23672,Entire home/apt,,2,0,,,1,0,0,
20328651,Guest suite in Dublin 14 · ★5.0 · 1 bedroom · 1 bed · 1 bath,145035473,Tina,,Dn Laoghaire-Rathdown,53.30285,-6.24651,Entire home/apt,,5,5,2018-05-31,0.07,1,0,0,
