id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38768,central cityapartement- wifi- nice neighbourhood,166283,Hannes,,Leopoldstadt,48.21924,16.37831,Entire home/apt,100,30,390,2024-06-29,2.38,3,148,18,
40625,"Near Palace Schönbrunn, Apt. 1",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18434,16.32701,Entire home/apt,169,1,217,2024-08-26,1.26,14,301,20,
51287,little studio- next to citycenter- wifi- nice area,166283,Hannes,,Leopoldstadt,48.21778,16.37847,Entire home/apt,80,30,380,2024-04-28,2.29,3,222,12,
70637,Flat in the Center with Terrace,358842,Elxe,,Leopoldstadt,48.2176,16.38018,Private room,50,2,116,2023-01-18,0.71,3,15,0,
78416,Nice Apartment in Vienna center,421075,Peter,,Rudolfsheim-Fnfhaus,48.20075,16.33278,Entire home/apt,60,1,178,2020-06-27,1.09,2,70,0,
90247,Beautiful New Central Apartment,489611,Diana,,Neubau,48.20599,16.3489,Private room,131,1,773,2024-08-14,4.74,2,274,43,
109679,Near Palace Schönbrunn - Apt. 4,175131,Ingela,,Rudolfsheim-Fnfhaus,48.18467,16.32795,Entire home/apt,91,1,143,2024-08-22,0.94,14,245,9,
114505,"Near Palace Schönbrunn, Apt. 5",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18445,16.32722,Entire home/apt,111,1,124,2022-12-30,0.77,14,350,0,
121026,"Feels-Like-Home Apt with garage, balcony & aircon",608240,Andrei,,Leopoldstadt,48.2158,16.39034,Entire home/apt,110,3,430,2024-09-09,2.66,2,49,45,
131628,"Holiday Apartment ""Modern Vienna""",647465,Sylvia,,Ottakring,48.21543,16.30939,Entire home/apt,,7,0,,,2,0,0,
138264,Apartment with roofterrace (#1),675182,Stephanie,,Hernals,48.22353,16.31773,Entire home/apt,154,1,6,2023-05-07,0.08,14,313,0,
169672,In the Heart of Vienna - Naschmarkt,808772,Astrid,,Wieden,48.19527,16.36374,Private room,56,2,426,2024-09-06,2.67,1,259,32,
169752,Viennaflat mini: Centrally located studio,809077,Martha,,Margareten,48.19469,16.35963,Entire home/apt,73,1,101,2024-08-15,0.89,11,247,23,
169852,Viennaflat classic: spacious flat in the center,809077,Martha,,Margareten,48.19469,16.35963,Entire home/apt,87,1,91,2024-08-30,0.58,11,213,16,
171835,Apartment in the Heart of Vienna,495496,Katarina,,Wieden,48.19571,16.37501,Entire home/apt,89,3,183,2024-08-22,1.16,1,74,8,
172530,"Viennaflat top: spacious, bright and in the center",809077,Martha,,Margareten,48.19469,16.35963,Entire home/apt,141,1,238,2024-08-07,1.49,11,186,18,
173375,Central Cosy Flat in Vienna's 'Karmeliterviertel',827783,Stefan,,Leopoldstadt,48.21664,16.37842,Entire home/apt,91,2,250,2024-08-26,1.57,1,14,40,
179857,**Cozy CityAp 90sqm(!) AUGARTEN**,861392,Gary,,Brigittenau,48.22727966308594,16.37061309814453,Entire home/apt,199,4,56,2024-08-25,0.35,4,18,3,
197787,Sunny Apartment Roofterrace (#2),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,100,1,2,2017-01-05,0.02,14,255,0,
197796,Cozy Apartment in the attic (#3),675182,Stephanie,,Hernals,48.22353,16.31773,Entire home/apt,122,1,1,2016-08-03,0.01,14,283,0,
197809,Cozy Studio for 2 persons (#4),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,90,1,6,2022-05-24,0.04,14,303,0,
197822,Comfortable Apartement for 2 (#5),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,85,1,0,,,14,282,0,
197827,Comfortable Apartment for 2 (#6),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,95,1,0,,,14,309,0,
197831,Roomy Apartment for 4 persons (#7),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,149,1,1,2024-06-06,0.31,14,299,1,
197842,Apartment with elegant charme (#8),675182,Stephanie,,Hernals,48.22356,16.31781,Entire home/apt,149,1,3,2016-12-14,0.02,14,327,0,
197852,Studio with Garden for 2 (#H03),675182,Stephanie,,Hernals,48.22509,16.31632,Entire home/apt,95,1,1,2023-05-21,0.06,14,284,0,
197857,Quiet Studio with Garden (#R02),675182,Stephanie,,Hernals,48.22501,16.31557,Entire home/apt,95,1,6,2024-06-23,0.05,14,269,1,
197859,Studio with Balcony for 2 (#R26),675182,Stephanie,,Hernals,48.22501,16.31557,Entire home/apt,95,1,4,2022-11-06,0.07,14,292,0,
197865,Apartment with Space for 5 (#F21/7),675182,Stephanie,,Hernals,48.22365,16.31742,Entire home/apt,211,1,1,2014-01-05,0.01,14,311,0,
197870,Spacious comfy Apartment (#F21/18),675182,Stephanie,,Hernals,48.22365,16.31742,Entire home/apt,211,1,1,2017-05-01,0.01,14,253,0,
197968,Central 2 bedroom flat,965759,Pierre,,Alsergrund,48.21919,16.35505,Entire home/apt,129,1,94,2024-08-25,0.64,2,277,8,
203691,"At the City center room with shower, sink",518644,Michael,,Margareten,48.19347,16.359,Private room,45,1,93,2024-08-24,0.59,33,223,14,
203707,LONG TERM Full of light and large bathroom+Bathtub,518644,Michael,,Margareten,48.19496,16.35896,Entire home/apt,65,30,95,2022-06-10,0.60,33,348,0,
210780,Near Palace Schönbrunn - Apt. 2,175131,Ingela,,Rudolfsheim-Fnfhaus,48.18444,16.32715,Entire home/apt,108,1,185,2024-08-15,1.17,14,344,7,
212649,roofflat in the center with terrace,358842,Elxe,,Leopoldstadt,48.21971,16.37903,Private room,45,2,32,2023-02-25,0.21,3,15,0,
216214,Complete furnished+private bathroom 1 month min,518644,Michael,,Margareten,48.19372,16.35862,Private room,34,30,38,2024-08-01,0.24,33,362,2,
222614,Citystudio II - for your business stay in Vienna,1156106,Josef,,Mariahilf,48.201210021972656,16.359617233276367,Entire home/apt,,2,723,2024-06-25,4.59,2,36,21,
228698,Wohnung mit Veranda am Stadtrand,1193729,Anneliese,,Penzing,48.20841,16.2454,Entire home/apt,,3,8,2024-08-25,0.28,2,316,2,
229535,City Center - Jump over the canal to be there,1108400,Dan,,Leopoldstadt,48.21353530883789,16.377519607543945,Entire home/apt,106,1,615,2024-09-05,3.90,13,342,68,
234613,Super Central Super Price II | Renovated in 2024,1108400,Dan,,Leopoldstadt,48.21269,16.37841,Entire home/apt,67,1,801,2024-09-06,5.18,13,352,66,
235805,Inner City - Dorotheum,150784775,Jennifer,,Innere Stadt,48.20541,16.36867,Entire home/apt,,3,157,2024-08-04,1.18,3,5,26,
242287,Comfortable city flat at Rennweg,1271221,Familien,,Landstra§e,48.19148,16.39017,Entire home/apt,64,3,257,2024-08-26,1.64,2,73,43,
244032,"Your sunny, central and quiet home with garden",1280331,Corinna,,Mariahilf,48.192144184272294,16.342926651005616,Entire home/apt,90,2,180,2024-07-30,1.16,1,10,9,
244521,Heart of Vienna cosy and modern,518644,Michael,,Margareten,48.19446,16.36087,Entire home/apt,70,30,37,2022-12-09,0.24,33,365,0,
244919,"Apartment ""Modern Vienna Enkplatz""",647465,Sylvia,,Simmering,48.17691,16.41262,Entire home/apt,65,7,1,2015-02-16,0.01,2,0,0,
247290,Specious modern studio near the state opera house,518644,Michael,,Margareten,48.19554,16.35863,Entire home/apt,85,30,57,2022-06-05,0.36,33,365,0,
247879,Stadtnest (City Nest) Studio for 2,1280395,Barbara,,Mariahilf,48.19285,16.34503,Entire home/apt,96,32,54,2024-08-22,0.38,3,38,4,
251790,Room with a view near the center,1266494,Judith,,Leopoldstadt,48.21928,16.38104,Entire home/apt,60,4,140,2024-09-03,0.90,2,174,15,
252052,City Centre with Garden - Apt. 11,175131,Ingela,,Neubau,48.20549,16.35443,Entire home/apt,175,1,252,2024-08-25,1.61,14,64,17,
263788,Classic & Cool Urban Living Vienna,1384125,Christian,,Leopoldstadt,48.21992,16.37994,Entire home/apt,89,2,196,2024-08-23,1.26,1,259,24,
264707,City-Flat Prater-2024 Special,1143756,Stephan,,Leopoldstadt,48.22189,16.39857,Entire home/apt,65,30,407,2020-08-28,2.63,1,258,0,
271754,Room with a view near the center,1266494,Judith,,Leopoldstadt,48.21928,16.38104,Entire home/apt,60,4,130,2024-09-05,0.86,2,222,21,
271872,Rent Holiday Apartment in Vienna!,1422776,Isabella Tabibian,,Margareten,48.18747,16.34898,Entire home/apt,112,4,11,2024-08-27,0.07,1,347,3,
1589630,2BR - KLIMT Apartment in Vienna for 6 peolpe,13336646,Hotel Und,,Penzing,48.1969,16.28869,Entire home/apt,132,1,16,2019-05-18,0.14,9,250,0,
1589958,3BR- KLIMT Apartment for 8 people,13336646,Hotel Und,,Penzing,48.1971,16.28906,Entire home/apt,194,1,38,2024-05-12,0.32,9,339,1,
1590223,Unique Rooftop Apt / Sauna in Art Nouveau Building,3525897,Nico,,Penzing,48.19200134277344,16.310150146484375,Entire home/apt,150,6,71,2023-05-12,0.53,2,301,0,
1590293,Smallest and coolest apt. in Art Nouveau Bldg.,3525897,Nico,,Penzing,48.19089,16.31,Entire home/apt,100,6,38,2023-12-23,0.43,2,364,3,
1596820,GS13f Apartment mini mit miniTerrasse,5874520,AdInfinitum Philip Bea Sophia,,Leopoldstadt,48.21767,16.37713,Entire home/apt,50,90,31,2022-07-15,0.24,51,358,0,
1597023,GS3 super für Studenten,5874520,AdInfinitum Philip Bea Sophia,,Leopoldstadt,48.21769,16.37506,Entire home/apt,75,60,38,2024-07-15,0.30,51,250,2,
1626782,"Universum-Direct on Metro U6 Dresdner str., Tram 2",8648007,Yuda,,Brigittenau,48.23564,16.37959,Entire home/apt,46,90,362,2023-11-04,2.71,1,0,1,
1640285,"Praterloft 33 (WU Campus, Messe)",2813542,Susanne,,Leopoldstadt,48.21818,16.40254,Entire home/apt,105,5,256,2024-08-22,1.93,2,150,26,
1640304,**HOME-OFFICE w/HighSpeedInternet** 60sqm AUGARTEN,1137320,Silvia&Family,,Brigittenau,48.22716,16.37036,Entire home/apt,122,28,71,2024-06-30,0.59,3,235,8,
