id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21953509,Room for one person,160079973,Stefan,,Penzing,48.20818,16.24944,Private room,,1,0,,,1,0,0,
862229583168870634,Helle Dachgeschosswohnung,12073447,Anna,,Penzing,48.1968935,16.309577,Entire home/apt,,14,0,,,1,173,0,
613432936094502212,Cosy,454972458,Claudio,,Alsergrund,48.22742,16.35746,Entire home/apt,,3,12,2024-01-01,0.51,5,0,2,
893276868262278941,Wohnung im Zentrum von Wien,513410438,Alexander,,Landstra§e,48.192639858122796,16.385610452226754,Entire home/apt,59,1,22,2024-05-26,1.76,1,203,21,
13915543,sonniger Altbau,10127897,Christine,,Margareten,48.18854,16.34587,Entire home/apt,,1,0,,,1,0,0,
36558271,Spacious Room in the Heart of Vienna 1,274808308,Stefan,,Leopoldstadt,48.21867,16.3906,Private room,,4,10,2019-09-30,0.17,3,0,0,
13958430,Nice flat - Top Roof - Close to the Subway,19093561,Bastian,,Penzing,48.19954,16.31535,Private room,,21,0,,,1,0,0,
927587990325422498,Small cozy room near Schönbrunn,237610623,Bruno,,Rudolfsheim-Fnfhaus,48.18537597228799,16.3308063022892,Private room,,1,2,2023-07-27,0.18,2,0,2,
43837652,Apartment zum Hof beim VOLKStheater,621105,Christoph,,Neubau,48.20616,16.35473,Entire home/apt,99,2,21,2023-11-13,0.46,2,306,1,
48786101,Apartment Heine,223304461,Johann,,Leopoldstadt,48.21948,16.38453,Entire home/apt,,6,0,,,2,0,0,
1040348413871632981,Apartment 4,474456233,Lotus,,Ottakring,48.21117419999999,16.3264116,Entire home/apt,146,1,1,2023-12-17,0.16,18,109,1,
32709857,"Ganze Wohnung in Wien, 1130",62502880,Claudia,,Hietzing,48.16654,16.28349,Entire home/apt,,14,0,,,1,0,0,
28321146,ojab dormitory,95829002,Hasan,,Floridsdorf,48.25328,16.41504,Shared room,,20,0,,,1,0,0,
953033837946404839,kimo Wohnung,528362887,Kamil,,Ottakring,48.2048437,16.3358957,Entire home/apt,75,1,10,2024-05-12,1.12,1,268,10,
20556308,Beautiful central Flat Vienna,40954101,Alexander K,,Margareten,48.19209,16.36344,Entire home/apt,,1,0,,,1,0,0,
1173652384591062826,Family Ap. in Brigittenau,571497431,Abdullah,,Brigittenau,48.2410581,16.3767907,Entire home/apt,98,1,0,,,17,286,0,
30456653,SUPER CENTRAL COSY FLAT,40755537,Sanda,,Wieden,48.1955,16.36796,Entire home/apt,,1,68,2020-03-13,1.01,2,0,0,
5832243,"85m2 Flat, next to the Stadthalle",30273625,Sebastian,,Rudolfsheim-Fnfhaus,48.20342,16.32875,Entire home/apt,,1,0,,,1,0,0,
572908861177726690,Schönbrunn Apt Top 9,54441651,Vienna Stay Apartments,,Meidling,48.17675,16.3251,Entire home/apt,,2,0,,,70,226,0,
39429879,Комната в центре вены,142652787,Светлана,,Leopoldstadt,48.22354,16.38227,Private room,,2,0,,,1,0,0,
