id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
38768,central cityapartement- wifi- nice neighbourhood,166283,Hannes,,Leopoldstadt,48.21924,16.37831,Entire home/apt,104,14,388,2024-02-29,2.45,3,92,31,
40625,"Near Palace Schönbrunn, Apt. 1",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18434,16.32701,Entire home/apt,135,1,208,2024-02-21,1.25,15,292,21,
51287,little studio- next to citycenter- wifi- nice area,166283,Hannes,,Leopoldstadt,48.21778,16.37847,Entire home/apt,75,31,375,2024-03-12,2.34,3,162,17,
70637,Flat in the Center with Terrace,358842,Elxe,,Leopoldstadt,48.2176,16.38018,Private room,50,2,116,2023-01-18,0.73,2,44,0,
90247,Beautiful New Central Apartment,489611,Diana,,Neubau,48.20599,16.3489,Entire home/apt,131,1,751,2024-02-19,4.77,2,221,46,
109679,Near Palace Schönbrunn - Apt. 4,175131,Ingela,,Rudolfsheim-Fnfhaus,48.18467,16.32795,Entire home/apt,75,1,135,2023-09-23,0.93,15,330,2,
111059,"Modern Apartment, 10min to the City",569644,Kateryna,,Hernals,48.22042,16.33377,Entire home/apt,71,5,167,2023-04-01,1.08,2,1,1,
114505,"Near Palace Schönbrunn, Apt. 5",175131,Ingela,,Rudolfsheim-Fnfhaus,48.18445,16.32722,Entire home/apt,149,1,125,2022-12-30,0.80,15,287,0,
121026,"Feels-Like-Home Apt with garage, balcony & aircon",608240,Andrei,,Leopoldstadt,48.2158,16.39034,Entire home/apt,93,3,403,2024-03-18,2.59,2,236,37,
131628,"Holiday Apartment ""Modern Vienna""",647465,Sylvia,,Ottakring,48.21543,16.30939,Entire home/apt,,7,0,,,2,0,0,
138264,Apartment with roofterrace (#1),675182,Stephanie,,Hernals,48.22353,16.31773,Entire home/apt,154,1,6,2023-05-07,0.09,14,252,1,
