id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
944667806550258663,Newly Renovated Apartment with Terrace | Amsterdam,34821312,Mace,,Oud-Noord,52.3900423,4.9381845,Entire home/apt,250,3,2,2023-11-19,0.34,1,347,2,0363 E3A2 FCA0 E0A3 ED8E
942471880180527140,Cosy family home & tropical garden,2462748,Irma,,Noord-West,52.41205,4.88358,Entire home/apt,175,3,1,2023-08-20,0.15,1,72,1,0363 55A4 2D6C 9CE2 E2EA
944670129580244163,"Light, spacious apartment with terrace (105m2)",44920353,Nienke,,De Baarsjes - Oud-West,52.37346,4.85573,Entire home/apt,325,2,4,2023-11-26,0.61,1,8,4,0363 5356 17EB 6FB2 85CB
942509977175329236,Secret Garden Studio,527581023,Branko,,Oud-Noord,52.399172,4.903297999999999,Entire home/apt,134,2,43,2024-03-09,6.42,1,186,43,0363 0F99 BBB8 AE40 E1E5
944724817993907481,Cozy & Light-filled 2BR close to everything,9637393,Marie,,De Baarsjes - Oud-West,52.37098683025628,4.861952111682269,Entire home/apt,314,4,2,2024-01-03,0.32,1,7,2,0363 128E 322B 1C41 F5AD
942511763720053918,Light spacious apartment,309173192,Liesbeth,,Westerpark,52.38799909999999,4.880700399999999,Entire home/apt,390,3,0,,,1,232,0,0363 8AA2 E037 E78C 28B7
944769216683570520,Apartment by the Beatrixpark,324926951,Mariano,,De Pijp - Rivierenbuurt,52.3470025824968,4.888762623639699,Entire home/apt,,4,5,2024-03-03,0.76,1,3,5,0363 8876 C03B 55E9 9259
944842753208552780,Stylish modern 1BR apt Amsterdam,39817805,Bogdan,,De Baarsjes - Oud-West,52.3686319,4.8514905,Entire home/apt,247,2,4,2024-01-01,0.59,1,0,4,03633778683F0B9A6894
942579493184288397,Stylish apartment with a large garden,38343414,Roderick,,De Baarsjes - Oud-West,52.36423,4.85489,Entire home/apt,200,4,5,2024-01-01,0.88,1,70,5,0363C6424651B1600787
942584521734139907,Cozy chamber + free bike (& also free parking!),689016,Cindy,,Noord-West,52.4109302382283,4.888848557951639,Private room,96,1,11,2024-02-19,1.49,1,33,11,0363 44B5 2CC4 B9DE 5B50
944847448702452724,"Knus huis aan de dijk, Amsterdam-Noord",207132373,Emma,,Noord-West,52.41491715331635,4.883309272840991,Entire home/apt,,7,5,2023-08-31,0.70,1,0,5,0363 A4B8 6D86 334F 6335
944956576154149636,Da Costa,11823844,Joshua,,De Baarsjes - Oud-West,52.36905963024774,4.874050319573984,Entire home/apt,,7,2,2023-09-23,0.33,1,0,2,0363 A8BE 4C69 3A23 1C92
