id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2818,Quiet Garden View Room & Super Fast Wi-Fi,3159,Daniel,,Oostelijk Havengebied - Indische Buurt,52.36435,4.94358,Private room,83,3,389,2024-08-31,2.07,1,105,35,0363 5F3A 5684 6750 D14D
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,,Centrum-West,52.38761,4.89188,Private room,155,3,279,2024-09-03,1.81,1,193,18,0363 974D 4986 7411 88D8
28871,Comfortable double room,124245,Edwin,,Centrum-West,52.36775,4.89092,Private room,79,2,638,2024-09-03,3.73,2,74,100,0363 607B EA74 0BD8 2F6F
29051,Comfortable single room,124245,Edwin,,Centrum-Oost,52.36584,4.89111,Private room,59,2,761,2024-09-04,4.64,2,91,84,0363 607B EA74 0BD8 2F6F
44391,Quiet 2-bedroom Amsterdam city centre apartment,194779,Jan,,Centrum-Oost,52.37168,4.91471,Entire home/apt,,3,42,2022-08-20,0.25,1,0,0,0363 E76E F06A C1DD 172C
48373,Cozy family home in Amsterdam South,220434,Vesna & Misha,,Buitenveldert - Zuidas,52.327807756778164,4.87680005722526,Entire home/apt,,3,5,2024-04-28,0.36,1,0,4,0363 4A2B A6AD 0196 F684
49552,Multatuli Luxury Guest Suite in top location,225987,Joanna & MP,,Centrum-West,52.38028,4.89089,Entire home/apt,294,3,556,2024-09-04,3.30,1,204,62,0363 576A D827 5085 6B83
50515,"Family Home (No drugs, smoking or parties)",231864,Karin,,Bos en Lommer,52.37559,4.83857,Entire home/apt,130,5,17,2024-08-21,0.14,1,2,5,0363 5DDB E495 A6D5 CEC6
50523,B & B de 9 Straatjes (city center),231946,Raymond,,Centrum-West,52.36811,4.88262,Private room,139,2,484,2024-08-20,2.91,1,293,59,0363 22DC 0E52 B70B 0FB8
53921,Amsterdam Stylish Lakeview Apartment,252245,Ingrid,,IJburg - Zeeburgereiland,52.35559,5.0032,Entire home/apt,,1,12,2024-05-25,0.17,1,0,5,0363 B43C B1D4 2666 3739
