id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21853,Bright and airy room,83531,Abdel,Latina,Cármenes,40.40381,-3.7413,Private room,31,4,33,2018-07-15,0.29,2,233,0,
204570,Lovely 110m2 home - Best location!,1004721,Alex,Centro,Cortes,40.4152,-3.69668,Entire home/apt,180,6,103,2023-07-12,0.68,1,10,2,
24805,Gran Via Studio Madrid,346366726,Alvaro,Centro,Universidad,40.42183,-3.70529,Entire home/apt,92,5,35,2024-02-28,0.31,1,91,10,
205199,Tafari Gran Via,1008659,Nuria,Centro,Universidad,40.42116,-3.70384,Entire home/apt,65,7,333,2024-02-25,2.18,4,334,26,VT-121
209373,Attic in the Heart of Madrid-WIFI,1031664,José,Centro,Embajadores,40.41126,-3.70347,Private room,32,1,77,2023-07-02,0.52,1,174,18,
30320,Great Vacational Apartments,130907,Dana,Centro,Sol,40.41476,-3.70418,Entire home/apt,,5,172,2022-09-26,1.03,3,0,0,
211444,Private Room in a Sunny and Luxuriously Appointed Apartment,1090760,Jon,Hortaleza,Canillas,40.45959,-3.64699,Private room,75,2,190,2024-03-10,1.26,1,306,25,
217674,PLAZA MAYOR XVIc. PENTHOUSE DUPLEX ROOFTOP TERRACE,1732442,Anouk,Centro,Sol,40.41538,-3.70741,Entire home/apt,,1,316,2024-02-19,2.10,5,0,39,
30959,Beautiful loft in Madrid Center,132883,Angela,Centro,Embajadores,40.41259,-3.70105,Entire home/apt,,3,8,2017-05-30,0.07,1,0,0,
219303,*** Malasaña B&B exterior***,499977,Charo,Centro,Universidad,40.42377,-3.70241,Private room,38,1,303,2024-02-27,2.00,3,288,54,
40718,COZY APARTMENT CIBELES-GRAN VIA-PTA DEL SOL-CHUECA,34217435,Luis,Centro,Justicia,40.41969,-3.69736,Entire home/apt,96,2,138,2024-01-28,0.83,15,285,10,
221017,Apartament Center Atocha ll,1146227,Davinia,Centro,Embajadores,40.4131,-3.70086,Entire home/apt,130,3,33,2024-02-28,0.22,2,38,7,
225489,Madrid City Center. Room for 1 or 2 people.,1172225,Eva,Chamberí,Arapiles,40.43595,-3.70706,Private room,,25,30,2020-03-07,0.22,3,0,0,
40916,Holiday Apartment Madrid Center,130907,Dana,Centro,Universidad,40.42247,-3.70577,Entire home/apt,,5,49,2021-12-11,0.30,3,0,0,
229664,Beautiful cozy loft madrid center,1130651,Sergio,Centro,Embajadores,40.4078,-3.70085,Entire home/apt,69,10,538,2024-01-12,3.55,3,292,19,
62423,MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID,303845,Arturo,Centro,Justicia,40.41884,-3.69655,Private room,68,1,181,2024-03-11,2.53,3,324,27,
233011,Apartament Center Atocha l,1146227,Davinia,Centro,Embajadores,40.41175,-3.70021,Entire home/apt,72,3,32,2024-03-19,0.22,2,291,2,
250858,Cheap partament near green Areas R1,630482,Raquel,Carabanchel,Opañel,40.39231,-3.72359,Private room,40,30,2,2012-05-08,0.01,1,364,0,
70073,Adorable Apartment Malasaña-Gran Via,353738,Raquel,Centro,Universidad,40.42252,-3.7025,Entire home/apt,94,28,32,2023-07-03,0.21,3,176,4,
256004,ARCO TOLEDO - CUCHILLEROS ST. CASA BALCONIES,1732442,Anouk,Centro,Sol,40.41428,-3.70767,Entire home/apt,94,3,191,2024-02-25,1.31,5,340,28,VT-519
70310,"Heart of Malasaña Cozy, Quiet & Sunny Apartment",353738,Raquel,Centro,Universidad,40.42252,-3.7025,Entire home/apt,65,30,29,2023-11-18,0.18,3,276,3,
72150,Sunny attic duplex flat with terrace next to Sol,364585,Vin,Centro,Embajadores,40.4115,-3.70449,Entire home/apt,163,3,109,2024-03-04,0.68,5,177,1,VT-6993
258713,"Apartamento céntrico, tranquilo y luminoso.",1359945,Azucena,Arganzuela,Chopera,40.39627,-3.69926,Entire home/apt,91,4,44,2024-03-10,0.33,1,10,32,
74352,Cozy apartment in the coolest  neighbourhood,391014,Juan,Centro,Embajadores,40.40864,-3.70884,Entire home/apt,80,8,5,2019-08-04,0.06,1,1,0,
82481,"Retiro Park, Stay at cosy studio",448981,Mercedes,Salamanca,Recoletos,40.42342,-3.68123,Entire home/apt,,3,105,2017-11-29,0.67,1,0,0,
260951,"Spectacular Loft ""A"" Ifema  Madrid",1351865,Angela,Hortaleza,Valdefuentes,40.47189,-3.62966,Entire home/apt,260,3,136,2021-05-21,0.94,2,137,0,
84719,Cool Apart. (10min Center + WIFI),259229,Felipe,Centro,Embajadores,40.40866,-3.70374,Entire home/apt,80,7,184,2021-09-29,1.17,1,69,0,VT2922
261878,Great Studio! Best Reviews!,1373873,Al,Centro,Universidad,40.42377853393555,-3.7027809619903564,Entire home/apt,140,1,611,2024-03-03,4.07,1,126,42,
86042,Cozy attic with intimate rooftop terrace+ elevator,364585,Vin,Centro,Embajadores,40.40939,-3.69812,Entire home/apt,200,3,198,2024-01-27,1.27,5,180,15,VT-3974
263748,"LOFT ""C"" cerca de  IFEMA Madrid",1351865,Angela,Hortaleza,Valdefuentes,40.47142,-3.62881,Entire home/apt,110,2,133,2024-02-18,0.94,2,292,10,
89954,Amazing apt in the historic center,487095,Beatriz,Centro,Palacio,40.41358,-3.71353,Entire home/apt,180,3,247,2024-01-01,1.59,1,335,20,VT 3441
268275,Madrid Centro Puerta del Sol - Atocha con balcones,1406073,Jose Antonio,Centro,Embajadores,40.412682,-3.702548,Entire home/apt,120,3,69,2023-10-12,0.47,1,236,6,VT-1874
272279,"Welcome home, El Rastro",1425071,Enrique,Centro,Embajadores,40.4093,-3.70884,Entire home/apt,129,5,214,2024-03-02,1.44,2,66,26,
93100,*** MALASAÑA B&B ***,499977,Charo,Centro,Universidad,40.42378,-3.70248,Private room,39,1,847,2024-03-18,5.40,3,289,87,
100411,Ático muy luminoso,527760,Diana,Fuencarral - El Pardo,Valverde,40.50044,-3.67032,Entire home/apt,,2,3,2016-06-24,0.03,1,0,0,
