id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
31094,"Beautiful, spacious, central, renovated Penthouse",129976,Ebbe,,Vesterbro-Kongens Enghave,55.66660169999999,12.5552831,Entire home/apt,,3,19,2022-08-22,0.11,1,0,0,
262961,192m2 FLAT+ 8m2 BALCONY IN CENTER NØRREBRO HOOD,1379904,Nina,,Nrrebro,55.68867,12.56095,Entire home/apt,1865,5,36,2023-07-26,0.24,1,0,2,
263036,Bright flat in central location,1232471,Anita,,Nrrebro,55.69008,12.54378,Entire home/apt,905,4,21,2023-08-03,0.14,1,32,1,
32379,"155 m2 artist flat on Vesterbro, with 2 bathrooms",140105,Lise,,Vesterbro-Kongens Enghave,55.672638,12.552493,Entire home/apt,1865,3,82,2024-05-11,0.49,2,22,3,
263708,Urban garden on Vesterbro rooftop,1383888,Ali,,Vesterbro-Kongens Enghave,55.67246,12.55363,Entire home/apt,1800,7,3,2018-09-05,0.02,1,45,0,
264220,MY HOME  IN  FANTASTIC COPENHAGEN,1386103,Angelina,,Amager st,55.66135,12.60531,Shared room,,2,4,2015-05-29,0.03,4,0,0,
32841,Cozy flat for Adults/Quiet for kids,142143,Anders & Maria,,sterbro,55.71176,12.57091,Entire home/apt,,100,7,2016-09-15,0.04,1,0,0,
38499,0 min. from everything in Cph.,122489,Christina,,Indre By,55.684288024902344,12.573019027709961,Entire home/apt,2100,5,24,2023-09-11,0.14,1,20,9,
279685,Newyorker apartment in central CPH?,1458132,Pernille,,Vesterbro-Kongens Enghave,55.6706,12.54211,Entire home/apt,1322,6,17,2021-11-07,0.12,1,266,0,
287737,The BEST of C-O-P-E-N-H-A-G-E-N!,1494596,Frederik,,Nrrebro,55.69751,12.54826,Entire home/apt,,3,58,2023-01-04,0.39,1,1,0,
